team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;season_max_victories;goals_ratio
Calgary Flames;1995;34;37;0;0.415;241;240;1;62;1.0041666666666667
Chicago Blackhawks;1995;40;28;0;0.488;273;220;53;62;1.240909090909091
Colorado Avalanche;1995;47;25;0;0.573;326;240;86;62;1.3583333333333334
Dallas Stars;1995;26;42;0;0.317;227;280;-53;62;0.8107142857142857
Detroit Red Wings;1995;62;13;0;0.756;325;181;144;62;1.7955801104972375
Edmonton Oilers;1995;30;44;0;0.366;240;304;-64;62;0.7894736842105263
Florida Panthers;1995;41;31;0;0.5;254;234;20;62;1.0854700854700854
Hartford Whalers;1995;34;39;0;0.415;237;259;-22;62;0.915057915057915
Los Angeles Kings;1995;24;40;0;0.293;256;302;-46;62;0.847682119205298
Montreal Canadiens;1995;40;32;0;0.488;265;248;17;62;1.0685483870967742
New Jersey Devils;1995;37;33;0;0.451;215;202;13;62;1.0643564356435644
New York Islanders;1995;22;50;0;0.268;229;315;-86;62;0.726984126984127
New York Rangers;1995;41;27;0;0.5;272;237;35;62;1.1476793248945147
Ottawa Senators;1995;18;59;0;0.22;191;291;-100;62;0.6563573883161512
Philadelphia Flyers;1995;45;24;0;0.549;282;208;74;62;1.3557692307692308
Pittsburgh Penguins;1995;49;29;0;0.598;362;284;78;62;1.2746478873239437
San Jose Sharks;1995;20;55;0;0.244;252;357;-105;62;0.7058823529411765
